# Frequency(TeraHz)	DOS
0.0	0.0
0.02	0.0
0.04	0.0
0.06	0.0
0.08	0.0
0.1	0.0
0.12	0.0
0.14	0.0
0.16	0.0
0.18	0.000266666666667
0.2	0.0004
0.22	0.000133333333333
0.24	0.0
0.26	0.0
0.28	0.000533333333333
0.3	0.000266666666667
0.32	0.000133333333333
0.34	0.0
0.36	0.000533333333333
0.38	0.0
0.4	0.000266666666667
0.42	0.000266666666667
0.44	0.000933333333333
0.46	0.000266666666667
0.48	0.000133333333333
0.5	0.000266666666667
0.52	0.000266666666667
0.54	0.000533333333333
0.56	0.000933333333333
0.58	0.000266666666667
0.6	0.000266666666667
0.62	0.0008
0.64	0.000533333333333
0.66	0.000266666666667
0.68	0.0008
0.7	0.000666666666667
0.72	0.00133333333333
0.74	0.000933333333333
0.76	0.00106666666667
0.78	0.0012
0.8	0.0008
0.82	0.00106666666667
0.84	0.00133333333333
0.86	0.000933333333333
0.88	0.000933333333333
0.9	0.0008
0.92	0.000933333333333
0.94	0.0016
0.96	0.0016
0.98	0.00106666666667
1.0	0.00106666666667
1.02	0.0016
1.04	0.0012
1.06	0.0008
1.08	0.0012
1.1	0.0008
1.12	0.00226666666667
1.14	0.00146666666667
1.16	0.00186666666667
1.18	0.0016
1.2	0.00293333333333
1.22	0.00266666666667
1.24	0.00266666666667
1.26	0.00146666666667
1.28	0.00226666666667
1.3	0.00226666666667
1.32	0.00266666666667
1.34	0.0024
1.36	0.00293333333333
1.38	0.00346666666667
1.4	0.00293333333333
1.42	0.00373333333333
1.44	0.00346666666667
1.46	0.00333333333333
1.48	0.0036
1.5	0.00186666666667
1.52	0.00453333333333
1.54	0.00373333333333
1.56	0.00333333333333
1.58	0.0044
1.6	0.00413333333333
1.62	0.00533333333333
1.64	0.00386666666667
1.66	0.00386666666667
1.68	0.00426666666667
1.7	0.00333333333333
1.72	0.00306666666667
1.74	0.0036
1.76	0.0048
1.78	0.00453333333333
1.8	0.00453333333333
1.82	0.00506666666667
1.84	0.00626666666667
1.86	0.00546666666667
1.88	0.00626666666667
1.9	0.0064
1.92	0.0076
1.94	0.006
1.96	0.0056
1.98	0.00653333333333
2.0	0.00573333333333
2.02	0.00666666666667
2.04	0.00586666666667
2.06	0.00666666666667
2.08	0.0072
2.1	0.00586666666667
2.12	0.00653333333333
2.14	0.00773333333333
2.16	0.0072
2.18	0.00706666666667
2.2	0.0076
2.22	0.01
2.24	0.0076
2.26	0.00853333333333
2.28	0.00826666666667
2.3	0.0068
2.32	0.00786666666667
2.34	0.00933333333333
2.36	0.0096
2.38	0.00946666666667
2.4	0.0096
2.42	0.0104
2.44	0.0113333333333
2.46	0.00786666666667
2.48	0.00973333333333
2.5	0.0108
2.52	0.00973333333333
2.54	0.0112
2.56	0.0092
2.58	0.0109333333333
2.6	0.0114666666667
2.62	0.0122666666667
2.64	0.0105333333333
2.66	0.0113333333333
2.68	0.0114666666667
2.7	0.0101333333333
2.72	0.0114666666667
2.74	0.0121333333333
2.76	0.0121333333333
2.78	0.0126666666667
2.8	0.0137333333333
2.82	0.0132
2.84	0.0124
2.86	0.0149333333333
2.88	0.0126666666667
2.9	0.0154666666667
2.92	0.0136
2.94	0.0148
2.96	0.0134666666667
2.98	0.016
3.0	0.0144
3.02	0.0154666666667
3.04	0.0148
3.06	0.0190666666667
3.08	0.0142666666667
3.1	0.0177333333333
3.12	0.0172
3.14	0.0181333333333
3.16	0.0178666666667
3.18	0.0182666666667
3.2	0.0170666666667
3.22	0.0176
3.24	0.0210666666667
3.26	0.0172
3.28	0.0221333333333
3.3	0.018
3.32	0.0210666666667
3.34	0.0213333333333
3.36	0.0192
3.38	0.0193333333333
3.4	0.0177333333333
3.42	0.0205333333333
3.44	0.0206666666667
3.46	0.0225333333333
3.48	0.0213333333333
3.5	0.0217333333333
3.52	0.022
3.54	0.0222666666667
3.56	0.0226666666667
3.58	0.0209333333333
3.6	0.0262666666667
3.62	0.0236
3.64	0.0253333333333
3.66	0.0246666666667
3.68	0.0237333333333
3.7	0.0242666666667
3.72	0.0273333333333
3.74	0.0273333333333
3.76	0.0253333333333
3.78	0.0264
3.8	0.0264
3.82	0.0288
3.84	0.0305333333333
3.86	0.0262666666667
3.88	0.0297333333333
3.9	0.0289333333333
3.92	0.0286666666667
3.94	0.0325333333333
3.96	0.0270666666667
3.98	0.0305333333333
4.0	0.0338666666667
4.02	0.0348
4.04	0.0326666666667
4.06	0.0330666666667
4.08	0.0312
4.1	0.0312
4.12	0.0352
4.14	0.0358666666667
4.16	0.0362666666667
4.18	0.0386666666667
4.2	0.036
4.22	0.0333333333333
4.24	0.0422666666667
4.26	0.038
4.28	0.0364
4.3	0.0410666666667
4.32	0.0396
4.34	0.0376
4.36	0.0413333333333
4.38	0.0414666666667
4.4	0.0426666666667
4.42	0.0401333333333
4.44	0.0438666666667
4.46	0.0424
4.48	0.0442666666667
4.5	0.0470666666667
4.52	0.048
4.54	0.0436
4.56	0.0473333333333
4.58	0.0470666666667
4.6	0.0501333333333
4.62	0.0492
4.64	0.0501333333333
4.66	0.0476
4.68	0.0477333333333
4.7	0.0546666666667
4.72	0.0501333333333
4.74	0.05
4.76	0.0542666666667
4.78	0.058
4.8	0.0568
4.82	0.0604
4.84	0.0574666666667
4.86	0.0554666666667
4.88	0.0552
4.9	0.0634666666667
4.92	0.0678666666667
4.94	0.0602666666667
4.96	0.0621333333333
4.98	0.0656
5.0	0.0706666666667
5.02	0.0658666666667
5.04	0.0684
5.06	0.0672
5.08	0.0648
5.1	0.07
5.12	0.0701333333333
5.14	0.0725333333333
5.16	0.0730666666667
5.18	0.0749333333333
5.2	0.0713333333333
5.22	0.0810666666667
5.24	0.0748
5.26	0.0797333333333
5.28	0.0821333333333
5.3	0.0801333333333
5.32	0.0869333333333
5.34	0.084
5.36	0.0876
5.38	0.0881333333333
5.4	0.0884
5.42	0.0906666666667
5.44	0.0909333333333
5.46	0.0928
5.48	0.0930666666667
5.5	0.0977333333333
5.52	0.0974666666667
5.54	0.098
5.56	0.102666666667
5.58	0.104266666667
5.6	0.108933333333
5.62	0.100266666667
5.64	0.110933333333
5.66	0.118666666667
5.68	0.1112
5.7	0.107866666667
5.72	0.116533333333
5.74	0.12
5.76	0.125733333333
5.78	0.120533333333
5.8	0.1196
5.82	0.132666666667
5.84	0.1336
5.86	0.1304
5.88	0.1376
5.9	0.141333333333
5.92	0.140266666667
5.94	0.153466666667
5.96	0.152533333333
5.98	0.1552
6.0	0.165733333333
6.02	0.1692
6.04	0.191333333333
6.06	0.1964
6.08	0.1948
6.1	0.195866666667
6.12	0.201733333333
6.14	0.192266666667
6.16	0.202933333333
6.18	0.196533333333
6.2	0.2012
6.22	0.190666666667
6.24	0.203333333333
6.26	0.200533333333
6.28	0.198
6.3	0.202266666667
6.32	0.2036
6.34	0.198
6.36	0.206666666667
6.38	0.210666666667
6.4	0.208666666667
6.42	0.209333333333
6.44	0.2116
6.46	0.2056
6.48	0.196266666667
6.5	0.207333333333
6.52	0.206666666667
6.54	0.1952
6.56	0.212933333333
6.58	0.210666666667
6.6	0.2072
6.62	0.210666666667
6.64	0.225866666667
6.66	0.2136
6.68	0.2164
6.7	0.2172
6.72	0.2136
6.74	0.229066666667
6.76	0.212533333333
6.78	0.213333333333
6.8	0.214666666667
6.82	0.216933333333
6.84	0.212666666667
6.86	0.224266666667
6.88	0.219466666667
6.9	0.2268
6.92	0.220933333333
6.94	0.219333333333
6.96	0.228933333333
6.98	0.227733333333
7.0	0.229466666667
7.02	0.226933333333
7.04	0.226133333333
7.06	0.228133333333
7.08	0.2276
7.1	0.242533333333
7.12	0.228533333333
7.14	0.239866666667
7.16	0.2356
7.18	0.233733333333
7.2	0.243733333333
7.22	0.241466666667
7.24	0.250266666667
7.26	0.247066666667
7.28	0.247866666667
7.3	0.241466666667
7.32	0.254133333333
7.34	0.255066666667
7.36	0.2536
7.38	0.256533333333
7.4	0.264666666667
7.42	0.26
7.44	0.259066666667
7.46	0.2624
7.48	0.272133333333
7.5	0.275866666667
7.52	0.273866666667
7.54	0.285066666667
7.56	0.287333333333
7.58	0.274533333333
7.6	0.301066666667
7.62	0.296133333333
7.64	0.295333333333
7.66	0.3048
7.68	0.3312
7.7	0.359466666667
7.72	0.3576
7.74	0.355733333333
7.76	0.374933333333
7.78	0.365333333333
7.8	0.3604
7.82	0.362533333333
7.84	0.3624
7.86	0.3628
7.88	0.356666666667
7.9	0.355333333333
7.92	0.3552
7.94	0.339733333333
7.96	0.318266666667
7.98	0.311466666667
8.0	0.297066666667
8.02	0.296666666667
8.04	0.274
8.06	0.2732
8.08	0.2424
8.1	0.250933333333
8.12	0.230533333333
8.14	0.224133333333
8.16	0.1988
8.18	0.1688
8.2	0.148133333333
8.22	0.126
8.24	0.115733333333
8.26	0.0896
8.28	0.0890666666667
8.3	0.0898666666667
8.32	0.0821333333333
8.34	0.0808
8.36	0.0825333333333
8.38	0.0830666666667
8.4	0.0956
8.42	0.0941333333333
8.44	0.106666666667
8.46	0.107866666667
8.48	0.113466666667
8.5	0.122533333333
8.52	0.125733333333
8.54	0.135466666667
8.56	0.139733333333
8.58	0.150666666667
8.6	0.158666666667
8.62	0.1672
8.64	0.181733333333
8.66	0.1836
8.68	0.218266666667
8.7	0.2196
8.72	0.232133333333
8.74	0.235333333333
8.76	0.242133333333
8.78	0.2472
8.8	0.243066666667
8.82	0.2568
8.84	0.2584
8.86	0.257733333333
8.88	0.2608
8.9	0.267733333333
8.92	0.270266666667
8.94	0.28
8.96	0.275466666667
8.98	0.2936
9.0	0.273333333333
9.02	0.2928
9.04	0.2884
9.06	0.289466666667
9.08	0.2932
9.1	0.297866666667
